,User,Tweet_time,Tweet,Hashtag,Retweet,Favorite,Join_time,Follower,Friend
0,YY_Aben,2022-09-15 02:16:58+00:00,iphone 14 Screen protector https://t.co/K30OFGoCJJ 来自 @YouTube @iPhone_News #iPhone14Plus #iPhone13 #iPhone14Pro #iPhone14FreeConChollometro #iPhone #iPhone13 #iPhone14 #iPhone14Series #iPhone14TH #iPhoneWallpaper,"[{'text': 'iPhone14Plus', 'indices': [76, 89]}, {'text': 'iPhone13', 'indices': [90, 99]}, {'text': 'iPhone14Pro', 'indices': [100, 112]}, {'text': 'iPhone14FreeConChollometro', 'indices': [113, 140]}, {'text': 'iPhone', 'indices': [141, 148]}, {'text': 'iPhone13', 'indices': [149, 158]}, {'text': 'iPhone14', 'indices': [159, 168]}, {'text': 'iPhone14Series', 'indices': [169, 184]}, {'text': 'iPhone14TH', 'indices': [185, 196]}, {'text': 'iPhoneWallpaper', 'indices': [197, 213]}]",0,0,2021-12-02 09:43:48+00:00,2,43
1,CollectorsTips,2022-09-15 02:14:23+00:00,My sweet hubby @garyzface will be taking my photos this weekend on our new #iPhone14Pro 📸 I’m super excited https://t.co/XJK9GRib2C,"[{'text': 'iPhone14Pro', 'indices': [75, 87]}]",0,0,2009-08-04 03:18:21+00:00,791,230
2,georgeavina21,2022-09-15 02:11:40+00:00,"Check out my latest post! Everything you need to know about the new iPhones. #Apple #iPhone14 #iPhone14Pro #iPhone14ProMax

https://t.co/tSG6yvboCp","[{'text': 'Apple', 'indices': [77, 83]}, {'text': 'iPhone14', 'indices': [84, 93]}, {'text': 'iPhone14Pro', 'indices': [94, 106]}, {'text': 'iPhone14ProMax', 'indices': [107, 122]}]",0,0,2009-07-12 12:22:12+00:00,156,263
3,ChronicallyTG,2022-09-15 02:07:37+00:00,iPhone 14 Pro Max - The best camera system yet? https://t.co/ac8awUtDMi via @YouTube #iPhone14 #iPhone14Pro #iPhone14ProMax,"[{'text': 'iPhone14', 'indices': [85, 94]}, {'text': 'iPhone14Pro', 'indices': [95, 107]}, {'text': 'iPhone14ProMax', 'indices': [108, 123]}]",0,0,2020-03-12 14:51:07+00:00,66,147
4,upstractcom,2022-09-15 02:06:05+00:00,Travel photographer Austin Mann puts iPhone 14 Pro’s new 48MP camera to the test #marquesbrownlee #people #iphone14pro #proreviewthiswillbe #apple #marquesbrownleeiphone14reviewagoodupgrade https://t.co/vkB3qW8zkF,"[{'text': 'marquesbrownlee', 'indices': [81, 97]}, {'text': 'people', 'indices': [98, 105]}, {'text': 'iphone14pro', 'indices': [106, 118]}, {'text': 'proreviewthiswillbe', 'indices': [119, 139]}, {'text': 'apple', 'indices': [140, 146]}, {'text': 'marquesbrownleeiphone14reviewagoodupgrade', 'indices': [147, 189]}]",1,0,2014-03-05 15:12:33+00:00,1664,4
5,PrasherManik,2022-09-15 02:03:03+00:00,"iPhone 12, iPhone 13 and iPhone 14 are exactly the same as Agarwal, Agrawal and Aggarwal.

🤣 #iPhone #iPhone14 #iPhone14Pro","[{'text': 'iPhone', 'indices': [93, 100]}, {'text': 'iPhone14', 'indices': [101, 110]}, {'text': 'iPhone14Pro', 'indices': [111, 123]}]",0,0,2021-04-22 11:41:31+00:00,23,562
6,MickLee93,2022-09-15 02:02:08+00:00,"This is the quality content I put in @tiktok_us 

#iPhone14 #iPhone14Pro #ios #ios16 #iphone3gs #iphone #apple https://t.co/kQCXvSFRwf","[{'text': 'iPhone14', 'indices': [50, 59]}, {'text': 'iPhone14Pro', 'indices': [60, 72]}, {'text': 'ios', 'indices': [73, 77]}, {'text': 'ios16', 'indices': [78, 84]}, {'text': 'iphone3gs', 'indices': [85, 95]}, {'text': 'iphone', 'indices': [96, 103]}, {'text': 'apple', 'indices': [104, 110]}]",0,0,2010-11-29 02:27:28+00:00,69,134
7,aine_vo,2022-09-15 02:01:50+00:00,"How To Create iPhone 14 Pro Mockup With Dynamic Island

Visit this article for more details:
https://t.co/D0GgeJdWCI

#iPhone14Pro #mockupiphone14 #uimega #uxui #dynamicisland https://t.co/2Ivou8s9Mj","[{'text': 'iPhone14Pro', 'indices': [118, 130]}, {'text': 'mockupiphone14', 'indices': [131, 146]}, {'text': 'uimega', 'indices': [147, 154]}, {'text': 'uxui', 'indices': [155, 160]}, {'text': 'dynamicisland', 'indices': [161, 175]}]",0,1,2021-11-03 13:40:59+00:00,112,348
8,HiroshiKoba2,2022-09-15 01:55:30+00:00,"Apple's New iPhone 14 Pro Actual Device Review: Why the Pro is still ""the one to buy this year
#iPhone14Pro #Apple #iPhone14 
https://t.co/9xwcxNCVOh","[{'text': 'iPhone14Pro', 'indices': [95, 107]}, {'text': 'Apple', 'indices': [108, 114]}, {'text': 'iPhone14', 'indices': [115, 124]}]",0,0,2014-04-25 17:50:33+00:00,7995,8760
9,rahulpuri,2022-09-15 01:54:25+00:00,I can see @Apple's take on the Always On Display being very polarising. #iPhone14Pro,"[{'text': 'iPhone14Pro', 'indices': [72, 84]}]",0,0,2008-04-13 05:38:13+00:00,4440,550
