,User,Tweet_time,Tweet,Hashtag,Retweet,Favorite,Join_time,Follower,Friend
0,PrasherManik,2022-09-15 02:03:03+00:00,"iPhone 12, iPhone 13 and iPhone 14 are exactly the same as Agarwal, Agrawal and Aggarwal.

🤣 #iPhone #iPhone14 #iPhone14Pro","[{'text': 'iPhone', 'indices': [93, 100]}, {'text': 'iPhone14', 'indices': [101, 110]}, {'text': 'iPhone14Pro', 'indices': [111, 123]}]",0,0,2021-04-22 11:41:31+00:00,23,562
1,MickLee93,2022-09-15 02:02:08+00:00,"This is the quality content I put in @tiktok_us 

#iPhone14 #iPhone14Pro #ios #ios16 #iphone3gs #iphone #apple https://t.co/kQCXvSFRwf","[{'text': 'iPhone14', 'indices': [50, 59]}, {'text': 'iPhone14Pro', 'indices': [60, 72]}, {'text': 'ios', 'indices': [73, 77]}, {'text': 'ios16', 'indices': [78, 84]}, {'text': 'iphone3gs', 'indices': [85, 95]}, {'text': 'iphone', 'indices': [96, 103]}, {'text': 'apple', 'indices': [104, 110]}]",0,0,2010-11-29 02:27:28+00:00,69,134
2,KraifTweets,2022-09-15 02:01:26+00:00,ANNOUNCEMENT: Verizon has started shipping iPhone 14s post pre-order. Check your status for more information #iphone14 #iphonepreorder #verizon https://t.co/ROFdYqg883,"[{'text': 'iphone14', 'indices': [109, 118]}, {'text': 'iphonepreorder', 'indices': [119, 134]}, {'text': 'verizon', 'indices': [135, 143]}]",0,0,2022-01-30 02:38:25+00:00,1558,58
3,Vedank__Panwar,2022-09-15 01:58:41+00:00,"Do you call or text?
#technology #iPhone #iPhone14 #SHUTDOWN #SHUTDOWN","[{'text': 'technology', 'indices': [21, 32]}, {'text': 'iPhone', 'indices': [33, 40]}, {'text': 'iPhone14', 'indices': [41, 50]}, {'text': 'SHUTDOWN', 'indices': [51, 60]}, {'text': 'SHUTDOWN', 'indices': [61, 70]}]",0,1,2020-09-30 05:07:58+00:00,63,56
4,cle0desktop,2022-09-15 01:58:15+00:00,"Pure Black Blue Theme For Windows 11 
Get it here: https://t.co/f1FfVzZV8D #Cleodesktop #JIMIN #JHOPE #iPhone14 #onstorm #onlyfans #JUNGKOOK #JAKE #JAYB #MUFC #JISOO #onlyfansgirl #VikrantRona #SHIB #WIN #JIN #EFC #LISA #JENNIE #RHOA #ROSE #loft #Crypto #JIN #ONEPIECE #ItalianGP","[{'text': 'Cleodesktop', 'indices': [75, 87]}, {'text': 'JIMIN', 'indices': [88, 94]}, {'text': 'JHOPE', 'indices': [95, 101]}, {'text': 'iPhone14', 'indices': [102, 111]}, {'text': 'onstorm', 'indices': [112, 120]}, {'text': 'onlyfans', 'indices': [121, 130]}, {'text': 'JUNGKOOK', 'indices': [131, 140]}, {'text': 'JAKE', 'indices': [141, 146]}, {'text': 'JAYB', 'indices': [147, 152]}, {'text': 'MUFC', 'indices': [153, 158]}, {'text': 'JISOO', 'indices': [159, 165]}, {'text': 'onlyfansgirl', 'indices': [166, 179]}, {'text': 'VikrantRona', 'indices': [180, 192]}, {'text': 'SHIB', 'indices': [193, 198]}, {'text': 'WIN', 'indices': [199, 203]}, {'text': 'JIN', 'indices': [204, 208]}, {'text': 'EFC', 'indices': [209, 213]}, {'text': 'LISA', 'indices': [214, 219]}, {'text': 'JENNIE', 'indices': [220, 227]}, {'text': 'RHOA', 'indices': [228, 233]}, {'text': 'ROSE', 'indices': [234, 239]}, {'text': 'loft', 'indices': [240, 245]}, {'text': 'Crypto', 'indices': [246, 253]}, {'text': 'JIN', 'indices': [254, 258]}, {'text': 'ONEPIECE', 'indices': [259, 268]}, {'text': 'ItalianGP', 'indices': [269, 279]}]",1,0,2013-11-17 02:01:27+00:00,34882,173
5,SonarDeepak911,2022-09-15 01:55:33+00:00,"@Captain2Phones The Notch looks ugly when #Dynamic_Island isn't working.
Nobody can deny that.
#iPhone14ProMax #iPhone14 #iPhone14series","[{'text': 'Dynamic_Island', 'indices': [42, 57]}, {'text': 'iPhone14ProMax', 'indices': [95, 110]}, {'text': 'iPhone14', 'indices': [111, 120]}, {'text': 'iPhone14series', 'indices': [121, 136]}]",0,0,2022-09-08 12:30:24+00:00,6,109
6,HiroshiKoba2,2022-09-15 01:55:30+00:00,"Apple's New iPhone 14 Pro Actual Device Review: Why the Pro is still ""the one to buy this year
#iPhone14Pro #Apple #iPhone14 
https://t.co/9xwcxNCVOh","[{'text': 'iPhone14Pro', 'indices': [95, 107]}, {'text': 'Apple', 'indices': [108, 114]}, {'text': 'iPhone14', 'indices': [115, 124]}]",0,0,2014-04-25 17:50:33+00:00,7994,8760
7,thetechkey,2022-09-15 01:53:21+00:00,What phone do you have? #iPhone14 #pixel6 #SamsungGalaxy,"[{'text': 'iPhone14', 'indices': [24, 33]}, {'text': 'pixel6', 'indices': [34, 41]}, {'text': 'SamsungGalaxy', 'indices': [42, 56]}]",0,0,2022-08-12 00:30:55+00:00,8,123
8,MaduforoJesse,2022-09-15 01:51:54+00:00,"Bomber jacket and joggers available as seen 
send us a dm https://t.co/HlIHQ1Uy5W We deliver nationwide🌍Payment validate order👌✅#lagos #fashion #sneakers #luxury #quality #PVC #iphone14 https://t.co/KuDOUJp72h","[{'text': 'lagos', 'indices': [128, 134]}, {'text': 'fashion', 'indices': [135, 143]}, {'text': 'sneakers', 'indices': [144, 153]}, {'text': 'luxury', 'indices': [154, 161]}, {'text': 'quality', 'indices': [162, 170]}, {'text': 'PVC', 'indices': [171, 175]}, {'text': 'iphone14', 'indices': [176, 185]}]",0,0,2019-06-04 13:18:33+00:00,760,2073
9,FaithfulNyama,2022-09-15 01:51:35+00:00,"Wether you love #iPhone or #Samsung you can attest to the fact this pouch is the ""Real Deal""
If you own this, people would admire you.
You can get yours via the link on my bio
#phonepouch
#iPhone13 #iPhone14 #iPhone14ProMax #SamsungGalaxy #Samsungpouch #SamsungGalaxyZFlip4 #pouch https://t.co/4hRO8K9Ucm","[{'text': 'iPhone', 'indices': [16, 23]}, {'text': 'Samsung', 'indices': [27, 35]}, {'text': 'phonepouch', 'indices': [176, 187]}, {'text': 'iPhone13', 'indices': [188, 197]}, {'text': 'iPhone14', 'indices': [198, 207]}, {'text': 'iPhone14ProMax', 'indices': [208, 223]}, {'text': 'SamsungGalaxy', 'indices': [224, 238]}, {'text': 'Samsungpouch', 'indices': [239, 252]}, {'text': 'SamsungGalaxyZFlip4', 'indices': [253, 273]}, {'text': 'pouch', 'indices': [274, 280]}]",0,0,2019-10-24 11:13:43+00:00,365,700
